AW-5	
nm	
523	1.101945877075
524	1.094790935516
525	1.092429161072
526	1.081848621368
527	1.069441795349
528	1.070587158203
529	1.048974990845
530	1.039995193481
531	1.030015945435
532	1.013879776001
533	1.003675937653
534	0.988330364227
535	0.975280761719
536	0.962020397186
537	0.942266941071
538	0.927720069885
539	0.906715393066
540	0.889287471771
541	0.87201499939
542	0.8547706604
543	0.836622238159
544	0.817687988281
545	0.798811912537
546	0.778887271881
547	0.761313915253
548	0.743427276611
549	0.72477388382
550	0.70662689209
551	0.689367294312
552	0.672734260559
553	0.654457092285
554	0.6393699646
555	0.621731758118
556	0.606706619263
557	0.590283870697
558	0.575219631195
559	0.560047626495
560	0.542884349823
561	0.529587268829
562	0.51641368866
563	0.501932144165
564	0.488965511322
565	0.476148605347
566	0.463587284088
567	0.451316833496
568	0.43940448761
569	0.427505970001
570	0.416185379028
571	0.405634403229
572	0.395721435547
573	0.384553909302
574	0.374645709991
575	0.365878105164
576	0.356739044189
577	0.347652435303
578	0.339244842529
579	0.331933021545
580	0.323174476624
581	0.314859390259
582	0.307667255402
583	0.301629543304
584	0.29381608963
585	0.286723136902
586	0.2810754776
587	0.27458190918
588	0.268824577332
589	0.263077259064
590	0.257395744324
591	0.252087593079
592	0.246236801147
593	0.240853786469
594	0.236122608185
595	0.231261253357
596	0.226842880249
597	0.222396373749
598	0.217741966248
599	0.212988376617
600	0.208735466003
601	0.204807758331
602	0.201313018799
603	0.197043895721
604	0.193490505219
605	0.189951896667
606	0.186875343323
607	0.183366298676
608	0.180099010468
609	0.177338123322
610	0.173810482025
611	0.170714855194
612	0.16806602478
613	0.165350914001
614	0.162392616272
615	0.15953540802
616	0.157053947449
617	0.154455184937
618	0.152320861816
619	0.14994096756
620	0.147323131561
621	0.145391464233
622	0.142739295959
623	0.14053106308
624	0.138469696045
625	0.137115478516
626	0.134705066681
627	0.133392333984
628	0.130692481995
629	0.128446578979
630	0.127027511597
631	0.125158786774
632	0.123440265656
633	0.122560977936
634	0.120315074921
635	0.119058132172
636	0.116612911224
637	0.11469745636
638	0.113081455231
639	0.111576080322
640	0.11073923111
641	0.108880996704
642	0.107653617859
643	0.1059217453
644	0.104695320129
645	0.102080821991
646	0.101895332336
647	0.099596500397
648	0.099013805389
649	0.09859085083
650	0.096556186676
651	0.095620632172
652	0.094064235687
653	0.092406749725
654	0.090582370758
655	0.089165687561
656	0.084153652191
657	0.084962844849
